"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
4014,"LEIZ","small_airport","La Perdiz - Torre De Juan Abad Airport",38.5130996704,-3.36433005333,2902,"EU","ES","ES-CM","Torre de Juan Abad","no","LEIZ",,,,,
43274,"LEJC","heliport","Hotel Rey Juan Carlos I Heliport",41.38249969482422,2.1091699600219727,287,"EU","ES","ES-CT","Barcelona","no","LEJC",,,,,
43282,"LEJO","small_airport","Madrigalejo Del Monte Airport",42.1343994140625,-3.731029987335205,3030,"EU","ES","ES-CL","Madrigalejo Del Monte","no","LEJO",,,,,
4015,"LEJR","medium_airport","Jerez Airport",36.744598388671875,-6.060110092163086,93,"EU","ES","ES-AN","Jerez de la Forntera","yes","LEJR","XRY",,,"https://en.wikipedia.org/wiki/Jerez_Airport",
43268,"LEJT","heliport","Hospital Doctor Josep Trueta Heliport",41.99789810180664,2.8213999271392822,215,"EU","ES","ES-CT","Gerona","no","LEJT",,,,,
43277,"LEJU","small_airport","La Juliana Airport",37.29499816894531,-6.162499904632568,148,"EU","ES","ES-AN","Sevilla","no","LEJU",,,,,
4016,"LELA","small_airport","La Calderera Airport",38.74789810180664,-3.5145599842071533,2644,"EU","ES","ES-CM","Valdepeñas","no","LELA",,,,,
4017,"LELC","medium_airport","San Javier Airport",37.775001525878906,-0.8123890161514282,11,"EU","ES","ES-MU","San Javier","yes","LELC","MJV",,,"https://en.wikipedia.org/wiki/Murcia-San_Javier_Airport",
43233,"LELH","small_airport","Alhama De Murcia Airport",37.7489013671875,-1.3021600246429443,669,"EU","ES","ES-MU","Cánovas","no","LELH",,,,,
43280,"LELI","small_airport","Aeródromo de Linares",38.133211,-3.642554,1033,"EU","ES","ES-AN","Linares","no","LELI",,,,"https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Linares",
